weight_baseline_sched_cv,weight_baseline_seed7_cv,weight_lower_batch_cv,accuracy
0.01,0.74,0.25,0.8104221787645232
0.01,0.75,0.24,0.8103071436788221
0.01,0.76,0.23,0.8103071436788221
0.01,0.77,0.22,0.8107672840216266
0.01,0.78,0.21,0.8109973541930289
0.01,0.79,0.2,0.8104221787645232
0.01,0.8,0.19,0.8099620384217187
0.01,0.81,0.18,0.8097319682503163
0.01,0.82,0.17,0.8092718279075118
0.01,0.83,0.16,0.8092718279075118
0.01,0.84,0.15,0.8092718279075118
0.01,0.85,0.14,0.8093868629932129
0.01,0.86,0.13,0.8091567928218106
0.01,0.87,0.12,0.8086966524790061
0.01,0.88,0.11,0.8085816173933049
0.01,0.89,0.1,0.8084665823076038
0.01,0.9,0.09,0.8081214770505004
0.01,0.91,0.08,0.8080064419647993
0.01,0.92,0.07,0.8074312665362936
0.01,0.93,0.06,0.8076613367076958
0.01,0.94,0.05,0.8074312665362936
0.01,0.95,0.04,0.8075463016219947
0.01,0.96,0.03,0.8076613367076958
0.01,0.97,0.02,0.8074312665362936
0.01,0.98,0.01,0.8072011963648913
0.01,0.99,0.0,0.806971126193489
0.02,0.0,0.98,0.8101921085931209
0.02,0.01,0.97,0.8099620384217187
0.02,0.02,0.96,0.8104221787645232
0.02,0.03,0.95,0.8109973541930289
0.02,0.04,0.94,0.81111238927873
0.02,0.05,0.93,0.8113424594501323
0.02,0.06,0.92,0.8116875647072357
0.02,0.07,0.91,0.8121477050500403
0.02,0.08,0.9,0.8122627401357414
0.02,0.09,0.89,0.8120326699643391
0.02,0.1,0.88,0.811917634878638
0.02,0.11,0.87,0.8121477050500403
0.02,0.12,0.86,0.811917634878638
0.02,0.13,0.85,0.8115725296215346
0.02,0.14,0.84,0.8121477050500403
0.02,0.15,0.83,0.8123777752214425
0.02,0.16,0.82,0.8115725296215346
0.02,0.17,0.81,0.8116875647072357
0.02,0.18,0.8,0.8120326699643391
0.02,0.19,0.79,0.8122627401357414
0.02,0.2,0.78,0.8123777752214425
0.02,0.21,0.77,0.8123777752214425
0.02,0.22,0.76,0.8128379155642471
0.02,0.23,0.75,0.8127228804785459
0.02,0.24,0.74,0.8124928103071437
0.02,0.25,0.73,0.8122627401357414
0.02,0.26,0.72,0.8132980559070516
0.02,0.27,0.71,0.8132980559070516
0.02,0.28,0.7,0.8131830208213505
0.02,0.29,0.69,0.8128379155642471
0.02,0.3,0.68,0.8128379155642471
0.02,0.31,0.67,0.8128379155642471
0.02,0.32,0.66,0.8124928103071437
0.02,0.33,0.65,0.8126078453928448
0.02,0.34,0.64,0.8129529506499482
0.02,0.35,0.63,0.8127228804785459
0.02,0.36,0.62,0.8128379155642471
0.02,0.37,0.61,0.8126078453928448
0.02,0.38,0.6,0.8130679857356494
0.02,0.39,0.59,0.8129529506499482
0.02,0.4,0.58,0.8127228804785459
0.02,0.41,0.57,0.8128379155642471
0.02,0.42,0.56,0.811917634878638
0.02,0.43,0.55,0.811917634878638
0.02,0.44,0.54,0.8121477050500403
0.02,0.45,0.53,0.8122627401357414
0.02,0.46,0.52,0.8121477050500403
0.02,0.47,0.51,0.8126078453928448
0.02,0.48,0.5,0.8120326699643391
0.02,0.49,0.49,0.8115725296215346
0.02,0.5,0.48,0.811917634878638
0.02,0.51,0.47,0.8120326699643391
0.02,0.52,0.46,0.8122627401357414
0.02,0.53,0.45,0.8129529506499482
0.02,0.54,0.44,0.8131830208213505
0.02,0.55,0.43,0.8124928103071437
0.02,0.56,0.42,0.8127228804785459
0.02,0.57,0.41,0.8124928103071437
0.02,0.58,0.4,0.8124928103071437
0.02,0.59,0.39,0.811917634878638
0.02,0.6,0.38,0.8118025997929369
0.02,0.61,0.37,0.8120326699643391
0.02,0.62,0.36,0.8123777752214425
0.02,0.63,0.35,0.8121477050500403
0.02,0.64,0.34,0.8118025997929369
0.02,0.65,0.33,0.8112274243644312
0.02,0.66,0.32,0.8108823191073278
0.02,0.67,0.31,0.8099620384217187
0.02,0.68,0.3,0.8100770735074198
0.02,0.69,0.29,0.8099620384217187
0.02,0.7,0.28,0.8096169331646152
0.02,0.71,0.27,0.8092718279075118
0.02,0.72,0.26,0.8099620384217187
0.02,0.73,0.25,0.8099620384217187
0.02,0.74,0.24,0.8099620384217187
0.02,0.75,0.23,0.8100770735074198
0.02,0.76,0.22,0.8100770735074198
0.02,0.77,0.21,0.8104221787645232
0.02,0.78,0.2,0.8106522489359255
0.02,0.79,0.19,0.8104221787645232
0.02,0.8,0.18,0.8099620384217187
0.02,0.81,0.17,0.8093868629932129
0.02,0.82,0.16,0.809501898078914
0.02,0.83,0.15,0.809501898078914
0.02,0.84,0.14,0.8096169331646152
0.02,0.85,0.13,0.8092718279075118
0.02,0.86,0.12,0.8090417577361095
0.02,0.87,0.11,0.8085816173933049
0.02,0.88,0.1,0.8086966524790061
0.02,0.89,0.09,0.8083515472219027
0.02,0.9,0.08,0.8083515472219027
0.02,0.91,0.07,0.8080064419647993
0.02,0.92,0.06,0.8075463016219947
0.02,0.93,0.05,0.8074312665362936
0.02,0.94,0.04,0.8076613367076958
0.02,0.95,0.03,0.8075463016219947
0.02,0.96,0.02,0.8072011963648913
0.02,0.97,0.01,0.8072011963648913
0.02,0.98,0.0,0.8070861612791902
0.03,0.0,0.97,0.8099620384217187
0.03,0.01,0.96,0.8107672840216266
0.03,0.02,0.95,0.8106522489359255
0.03,0.03,0.94,0.8108823191073278
0.03,0.04,0.93,0.8109973541930289
0.03,0.05,0.92,0.8109973541930289
0.03,0.06,0.91,0.8114574945358334
0.03,0.07,0.9,0.8116875647072357
0.03,0.08,0.89,0.8116875647072357
0.03,0.09,0.88,0.8127228804785459
0.03,0.1,0.87,0.811917634878638
0.03,0.11,0.86,0.8114574945358334
0.03,0.12,0.85,0.8116875647072357
0.03,0.13,0.84,0.811917634878638
0.03,0.14,0.83,0.8126078453928448
0.03,0.15,0.82,0.8126078453928448
0.03,0.16,0.81,0.8122627401357414
0.03,0.17,0.8,0.8121477050500403
0.03,0.18,0.79,0.8127228804785459
0.03,0.19,0.78,0.8129529506499482
0.03,0.2,0.77,0.8129529506499482
0.03,0.21,0.76,0.8127228804785459
0.03,0.22,0.75,0.8129529506499482
0.03,0.23,0.74,0.8130679857356494
0.03,0.24,0.73,0.8122627401357414
0.03,0.25,0.72,0.8127228804785459
0.03,0.26,0.71,0.8128379155642471
0.03,0.27,0.7,0.8128379155642471
0.03,0.28,0.69,0.8129529506499482
0.03,0.29,0.68,0.8128379155642471
0.03,0.3,0.67,0.8132980559070516
0.03,0.31,0.66,0.8132980559070516
0.03,0.32,0.65,0.8130679857356494
0.03,0.33,0.64,0.8135281260784539
0.03,0.34,0.63,0.8128379155642471
0.03,0.35,0.62,0.8124928103071437
0.03,0.36,0.61,0.8127228804785459
0.03,0.37,0.6,0.8129529506499482
0.03,0.38,0.59,0.8130679857356494
0.03,0.39,0.58,0.8131830208213505
0.03,0.4,0.57,0.8130679857356494
0.03,0.41,0.56,0.8124928103071437
